node_id,node_type,household_count,rmse_test_2012q4,rmse_test_2013,rmse_test_2014,mae_test_2012q4,mae_test_2013,mae_test_2014,count_test_2012q4,count_test_2013,count_test_2014,rmse_increase_2013_vs_2012_pct,mae_increase_2013_vs_2012_pct,exceeds_degradation_threshold
node_std_0,Std,20,0.1103870917294723,0.10277820309480647,0.10577392300077393,0.08485772079891629,0.07959431010966349,0.08168650510018333,2160.0,8712.0,1368.0,-6.8929152090654515,-6.202630284786086,False
node_std_1,Std,20,0.07745262906684718,0.06871856121503785,0.076217828555046,0.058133114046520655,0.052561159585187804,0.058133157373171804,2160.0,8712.0,1368.0,-11.276657690045875,-9.58482020569882,False
node_std_2,Std,20,0.09482978798334922,0.09193907431170388,0.0999191379009595,0.0724656723163746,0.07074386633323682,0.0775680792959113,2160.0,8712.0,1368.0,-3.048318184738437,-2.3760298194994056,False
node_tou_0,ToU,20,0.0995090354618949,0.09293173849550956,0.09945073643455632,0.07628668988192523,0.06985123939914809,0.07779570211443984,2160.0,8712.0,1368.0,-6.609748487516989,-8.435875894914025,False
node_tou_1,ToU,20,0.12679155289595448,0.10386633052230937,0.13412219691769448,0.09540755748748779,0.07824674597620636,0.10265005122848421,2160.0,8712.0,1368.0,-18.081032884310215,-17.986847125325458,False
node_tou_2,ToU,20,0.1074608954770521,0.10052851417804376,0.12438099668195265,0.08347400471016213,0.07481122445195393,0.09890901554397673,2160.0,8712.0,1368.0,-6.451073451634072,-10.377817966547845,False
node_tou_3,ToU,20,0.10337392490640605,0.09731867641691466,0.11655409964576918,0.07449990334334197,0.06890857769082291,0.08599840409574452,2160.0,8712.0,1368.0,-5.857616894176908,-7.505144841263416,False
node_tou_4,ToU,20,0.08227858150980254,0.07751585042617921,0.09070486317916557,0.05890639689233568,0.05599965138704652,0.06761297147873549,2160.0,8712.0,1368.0,-5.788543015968133,-4.9345158737205965,False
node_tou_5,ToU,20,0.0791530000590892,0.07416417604335859,0.08091602170601263,0.060888502774415196,0.056003957761056496,0.06255632116083513,2160.0,8712.0,1368.0,-6.3027604917139755,-8.022113848743121,False
node_tou_6,ToU,20,0.12241011101164123,0.13480567637775376,0.13613961813362196,0.09871882862514919,0.09891610122580831,0.10745407963356776,2160.0,8712.0,1368.0,10.126259394482295,0.19983280130702613,True
