split_key,split_label,tariff_group,count,rmse,mae
test_2012q4,Test: 2012 Q4,Overall,728,0.3772476325999466,0.25085374549195005
test_2012q4,Test: 2012 Q4,Std,364,0.45076576386629946,0.3294241899972434
test_2012q4,Test: 2012 Q4,ToU,364,0.2853800561322984,0.17228331212159043
test_2013,Test: 2013 drift year,Overall,2912,0.4003197116193927,0.2595002559515146
test_2013,Test: 2013 drift year,Std,1456,0.5208825464035469,0.39110951584119064
test_2013,Test: 2013 drift year,ToU,1456,0.22179521452054934,0.1278909973718308
test_2014,Test: 2014 post-drift,Overall,464,0.3760222998686614,0.2537616367997794
test_2014,Test: 2014 post-drift,Std,232,0.45557867763183,0.3215721968946786
test_2014,Test: 2014 post-drift,ToU,232,0.27428745968345103,0.18595106026221966
