model,node_id,node_type,household_count,rmse_test_2012q4,rmse_test_2013,rmse_test_2014,mae_test_2012q4,mae_test_2013,mae_test_2014,count_test_2012q4,count_test_2013,count_test_2014,rmse_change_2013_vs_2012_pct
AttentionLSTM,node_std_0,Std,20,0.0994214341044426,0.09263083338737488,0.09469684958457947,0.07782329618930817,0.07146652042865753,0.07426264882087708,2160.0,8712.0,1368.0,-6.830117447243989
AttentionLSTM,node_std_1,Std,20,0.07605446130037308,0.07019315659999847,0.07721692323684692,0.05860527977347374,0.054400693625211716,0.05944659188389778,2160.0,8712.0,1368.0,-7.706720421338191
AttentionLSTM,node_std_2,Std,20,0.07852763682603836,0.07630746811628342,0.0858427956700325,0.05965687707066536,0.05870622396469116,0.06549128890037537,2160.0,8712.0,1368.0,-2.8272450305276164
AttentionLSTM,node_tou_0,ToU,20,0.09627896547317505,0.0840502381324768,0.09275978058576584,0.07293527573347092,0.06339455395936966,0.07211576402187347,2160.0,8712.0,1368.0,-12.701348919360141
AttentionLSTM,node_tou_1,ToU,20,0.1096656396985054,0.09670750051736832,0.1112855076789856,0.08472325652837753,0.0723600760102272,0.0858716070652008,2160.0,8712.0,1368.0,-11.816043034775356
AttentionLSTM,node_tou_2,ToU,20,0.09271591156721115,0.0892588198184967,0.10203299671411514,0.06916812062263489,0.06375281512737274,0.07625490427017212,2160.0,8712.0,1368.0,-3.7286930476958635
AttentionLSTM,node_tou_3,ToU,20,0.08424511551856995,0.07485626637935638,0.08330146968364716,0.06297320872545242,0.05513466149568558,0.06261805444955826,2160.0,8712.0,1368.0,-11.144680711066272
AttentionLSTM,node_tou_4,ToU,20,0.06748071312904358,0.06594952195882797,0.0766519159078598,0.05129731446504593,0.050207898020744324,0.06035832688212395,2160.0,8712.0,1368.0,-2.269079710653776
AttentionLSTM,node_tou_5,ToU,20,0.06971434503793716,0.06815072149038315,0.07066235691308975,0.05381455272436142,0.051806289702653885,0.05481645092368126,2160.0,8712.0,1368.0,-2.2429007210827603
AttentionLSTM,node_tou_6,ToU,20,0.09876681119203568,0.1041169986128807,0.10698889940977097,0.07524865120649338,0.07419122010469437,0.08117783069610596,2160.0,8712.0,1368.0,5.416989124456474
