model,node_id,node_type,household_count,split_key,split_label,count,rmse,mae
PlainLSTM,node_std_0,Std,20,test_2012q4,Test: 2012 Q4,2160,0.09294947236776352,0.06975115835666656
PlainLSTM,node_std_0,Std,20,test_2013,Test: 2013 drift year,8712,0.08838450163602829,0.06570502370595932
PlainLSTM,node_std_0,Std,20,test_2014,Test: 2014 post-drift,1368,0.08764082193374634,0.066380076110363
PlainLSTM,node_std_1,Std,20,test_2012q4,Test: 2012 Q4,2160,0.07354078441858292,0.05503597855567932
PlainLSTM,node_std_1,Std,20,test_2013,Test: 2013 drift year,8712,0.06762177497148514,0.051305316388607025
PlainLSTM,node_std_1,Std,20,test_2014,Test: 2014 post-drift,1368,0.07428800314664841,0.05560014024376869
PlainLSTM,node_std_2,Std,20,test_2012q4,Test: 2012 Q4,2160,0.07694718986749649,0.057540372014045715
PlainLSTM,node_std_2,Std,20,test_2013,Test: 2013 drift year,8712,0.07488443702459335,0.05687693506479263
PlainLSTM,node_std_2,Std,20,test_2014,Test: 2014 post-drift,1368,0.0859299749135971,0.06428711116313934
PlainLSTM,node_tou_0,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.08898956328630447,0.0658300593495369
PlainLSTM,node_tou_0,ToU,20,test_2013,Test: 2013 drift year,8712,0.07962504029273987,0.059111639857292175
PlainLSTM,node_tou_0,ToU,20,test_2014,Test: 2014 post-drift,1368,0.08644989877939224,0.0657799169421196
PlainLSTM,node_tou_1,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.105308897793293,0.07858028262853622
PlainLSTM,node_tou_1,ToU,20,test_2013,Test: 2013 drift year,8712,0.09493314474821091,0.06965658068656921
PlainLSTM,node_tou_1,ToU,20,test_2014,Test: 2014 post-drift,1368,0.10601096600294113,0.07974588125944138
PlainLSTM,node_tou_2,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.09017442166805267,0.0657612606883049
PlainLSTM,node_tou_2,ToU,20,test_2013,Test: 2013 drift year,8712,0.0874442458152771,0.06109340488910675
PlainLSTM,node_tou_2,ToU,20,test_2014,Test: 2014 post-drift,1368,0.09682653844356537,0.0697965994477272
PlainLSTM,node_tou_3,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.09070873260498047,0.06418139487504959
PlainLSTM,node_tou_3,ToU,20,test_2013,Test: 2013 drift year,8712,0.07939231395721436,0.05689619109034538
PlainLSTM,node_tou_3,ToU,20,test_2014,Test: 2014 post-drift,1368,0.09040986746549606,0.06629236787557602
PlainLSTM,node_tou_4,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.065163753926754,0.04764198884367943
PlainLSTM,node_tou_4,ToU,20,test_2013,Test: 2013 drift year,8712,0.06389272958040237,0.0471900999546051
PlainLSTM,node_tou_4,ToU,20,test_2014,Test: 2014 post-drift,1368,0.07419183105230331,0.05715595558285713
PlainLSTM,node_tou_5,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.06924952566623688,0.052341412752866745
PlainLSTM,node_tou_5,ToU,20,test_2013,Test: 2013 drift year,8712,0.06944538652896881,0.051541730761528015
PlainLSTM,node_tou_5,ToU,20,test_2014,Test: 2014 post-drift,1368,0.06944988667964935,0.053192753344774246
PlainLSTM,node_tou_6,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.09500390291213989,0.07025739550590515
PlainLSTM,node_tou_6,ToU,20,test_2013,Test: 2013 drift year,8712,0.10691390186548233,0.07292785495519638
PlainLSTM,node_tou_6,ToU,20,test_2014,Test: 2014 post-drift,1368,0.10667642205953598,0.07865343242883682
AttentionLSTM,node_std_0,Std,20,test_2012q4,Test: 2012 Q4,2160,0.0994214341044426,0.07782329618930817
AttentionLSTM,node_std_0,Std,20,test_2013,Test: 2013 drift year,8712,0.09263083338737488,0.07146652042865753
AttentionLSTM,node_std_0,Std,20,test_2014,Test: 2014 post-drift,1368,0.09469684958457947,0.07426264882087708
AttentionLSTM,node_std_1,Std,20,test_2012q4,Test: 2012 Q4,2160,0.07605446130037308,0.05860527977347374
AttentionLSTM,node_std_1,Std,20,test_2013,Test: 2013 drift year,8712,0.07019315659999847,0.054400693625211716
AttentionLSTM,node_std_1,Std,20,test_2014,Test: 2014 post-drift,1368,0.07721692323684692,0.05944659188389778
AttentionLSTM,node_std_2,Std,20,test_2012q4,Test: 2012 Q4,2160,0.07852763682603836,0.05965687707066536
AttentionLSTM,node_std_2,Std,20,test_2013,Test: 2013 drift year,8712,0.07630746811628342,0.05870622396469116
AttentionLSTM,node_std_2,Std,20,test_2014,Test: 2014 post-drift,1368,0.0858427956700325,0.06549128890037537
AttentionLSTM,node_tou_0,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.09627896547317505,0.07293527573347092
AttentionLSTM,node_tou_0,ToU,20,test_2013,Test: 2013 drift year,8712,0.0840502381324768,0.06339455395936966
AttentionLSTM,node_tou_0,ToU,20,test_2014,Test: 2014 post-drift,1368,0.09275978058576584,0.07211576402187347
AttentionLSTM,node_tou_1,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.1096656396985054,0.08472325652837753
AttentionLSTM,node_tou_1,ToU,20,test_2013,Test: 2013 drift year,8712,0.09670750051736832,0.0723600760102272
AttentionLSTM,node_tou_1,ToU,20,test_2014,Test: 2014 post-drift,1368,0.1112855076789856,0.0858716070652008
AttentionLSTM,node_tou_2,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.09271591156721115,0.06916812062263489
AttentionLSTM,node_tou_2,ToU,20,test_2013,Test: 2013 drift year,8712,0.0892588198184967,0.06375281512737274
AttentionLSTM,node_tou_2,ToU,20,test_2014,Test: 2014 post-drift,1368,0.10203299671411514,0.07625490427017212
AttentionLSTM,node_tou_3,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.08424511551856995,0.06297320872545242
AttentionLSTM,node_tou_3,ToU,20,test_2013,Test: 2013 drift year,8712,0.07485626637935638,0.05513466149568558
AttentionLSTM,node_tou_3,ToU,20,test_2014,Test: 2014 post-drift,1368,0.08330146968364716,0.06261805444955826
AttentionLSTM,node_tou_4,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.06748071312904358,0.05129731446504593
AttentionLSTM,node_tou_4,ToU,20,test_2013,Test: 2013 drift year,8712,0.06594952195882797,0.050207898020744324
AttentionLSTM,node_tou_4,ToU,20,test_2014,Test: 2014 post-drift,1368,0.0766519159078598,0.06035832688212395
AttentionLSTM,node_tou_5,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.06971434503793716,0.05381455272436142
AttentionLSTM,node_tou_5,ToU,20,test_2013,Test: 2013 drift year,8712,0.06815072149038315,0.051806289702653885
AttentionLSTM,node_tou_5,ToU,20,test_2014,Test: 2014 post-drift,1368,0.07066235691308975,0.05481645092368126
AttentionLSTM,node_tou_6,ToU,20,test_2012q4,Test: 2012 Q4,2160,0.09876681119203568,0.07524865120649338
AttentionLSTM,node_tou_6,ToU,20,test_2013,Test: 2013 drift year,8712,0.1041169986128807,0.07419122010469437
AttentionLSTM,node_tou_6,ToU,20,test_2014,Test: 2014 post-drift,1368,0.10698889940977097,0.08117783069610596
