model,split_key,split_label,group,count,rmse,mae
PlainLSTM,test_2012q4,Test: 2012 Q4,Overall,432000,0.3612572172484781,0.17586047626100482
PlainLSTM,test_2012q4,Test: 2012 Q4,Std,129600,0.32639553312409375,0.17130107032135128
PlainLSTM,test_2012q4,Test: 2012 Q4,ToU,302400,0.3752076830638614,0.17781450737799917
PlainLSTM,test_2013,Test: 2013 drift year,Overall,1742400,0.35598918091188203,0.1674215903831646
PlainLSTM,test_2013,Test: 2013 drift year,Std,522720,0.3070993439175214,0.1597762157364438
PlainLSTM,test_2013,Test: 2013 drift year,ToU,1219680,0.3749957996258872,0.1706981795174735
PlainLSTM,test_2014,Test: 2014 post-drift,Overall,273600,0.38556901097593854,0.1919160609296523
PlainLSTM,test_2014,Test: 2014 post-drift,Std,82080,0.326078740334109,0.17408419745819023
PlainLSTM,test_2014,Test: 2014 post-drift,ToU,191520,0.40842075425717445,0.19955828813170748
AttentionLSTM,test_2012q4,Test: 2012 Q4,Overall,432000,0.34708578972334037,0.17137707568472252
AttentionLSTM,test_2012q4,Test: 2012 Q4,Std,129600,0.32053573564367605,0.16846619067558397
AttentionLSTM,test_2012q4,Test: 2012 Q4,ToU,302400,0.35786190089890624,0.17262459783149617
AttentionLSTM,test_2013,Test: 2013 drift year,Overall,1742400,0.34100336378622725,0.16240362903801725
AttentionLSTM,test_2013,Test: 2013 drift year,Std,522720,0.30289074787492076,0.15794923910095046
AttentionLSTM,test_2013,Test: 2013 drift year,ToU,1219680,0.3560907841087987,0.16431265329676015
AttentionLSTM,test_2014,Test: 2014 post-drift,Overall,273600,0.3647602570118732,0.1834260956326034
AttentionLSTM,test_2014,Test: 2014 post-drift,Std,82080,0.32002498188289125,0.1715070117303791
AttentionLSTM,test_2014,Test: 2014 post-drift,ToU,191520,0.38233352752094113,0.18853427444784238
