model,epoch,train_loss
PlainLSTM,1,0.5894057567403248
PlainLSTM,2,0.5549732550547437
PlainLSTM,3,0.5406034482713681
PlainLSTM,4,0.5337958983516387
PlainLSTM,5,0.5318960843017247
PlainLSTM,6,0.52746898366324
PlainLSTM,7,0.5254507604404278
PlainLSTM,8,0.5219638777929103
PlainLSTM,9,0.5212760681086415
PlainLSTM,10,0.5206615007268655
PlainLSTM,11,0.517450448416437
PlainLSTM,12,0.5167343881199215
PlainLSTM,13,0.5125573206944481
PlainLSTM,14,0.51752267601789
PlainLSTM,15,0.5128792925049638
PlainLSTM,16,0.5132341145702497
PlainLSTM,17,0.5099025483836699
PlainLSTM,18,0.5105665831052222
PlainLSTM,19,0.5108878021684874
PlainLSTM,20,0.5121627042952841
AttentionLSTM,1,0.569597688740856
AttentionLSTM,2,0.5420136484609156
AttentionLSTM,3,0.5334229226357684
AttentionLSTM,4,0.5270527695881209
AttentionLSTM,5,0.5209595111175366
AttentionLSTM,6,0.5182748165697914
AttentionLSTM,7,0.5154435077587508
AttentionLSTM,8,0.5102985827466683
AttentionLSTM,9,0.5172790658205652
AttentionLSTM,10,0.5053504495605395
AttentionLSTM,11,0.5051193721309736
AttentionLSTM,12,0.508396583975703
AttentionLSTM,13,0.5032005360962111
AttentionLSTM,14,0.5005152086199671
AttentionLSTM,15,0.4983295144835469
AttentionLSTM,16,0.5035999685621722
AttentionLSTM,17,0.5059284019700201
AttentionLSTM,18,0.5157642337286971
AttentionLSTM,19,0.5095411410515714
AttentionLSTM,20,0.5085629005524123
