model,node_id,node_type,household_count,sample_count,rmse_test_2012q4,rmse_test_2013,rmse_test_2014,mae_test_2012q4,mae_test_2013,mae_test_2014,count_test_2012q4,count_test_2013,count_test_2014,rmse_change_2013_vs_2012_pct
FedAvg,node_std_0,Std,20,44960,0.0999644473195076,0.09316902607679367,0.09701003134250641,0.07833634316921234,0.07251697778701782,0.07601367682218552,2160.0,8712.0,1368.0,-6.797838056358496
FedAvg,node_std_1,Std,20,44960,0.0842769667506218,0.0759764239192009,0.08389756083488464,0.06601530313491821,0.06028588488698006,0.06549153476953506,2160.0,8712.0,1368.0,-9.84912384896631
FedAvg,node_std_2,Std,20,44960,0.08619645237922668,0.0826440304517746,0.09277117252349854,0.06757660955190659,0.0652429386973381,0.07339955866336823,2160.0,8712.0,1368.0,-4.121308742293691
FedAvg,node_tou_0,ToU,20,44960,0.10145464539527893,0.08818503469228745,0.09896238148212433,0.07852669805288315,0.06746566295623779,0.07761649042367935,2160.0,8712.0,1368.0,-13.079352504058894
FedAvg,node_tou_1,ToU,20,44960,0.11467190086841583,0.09895738214254379,0.12010360509157181,0.08907870948314667,0.07645466923713684,0.09481443464756012,2160.0,8712.0,1368.0,-13.703896601403859
FedAvg,node_tou_2,ToU,20,44960,0.09980379790067673,0.09307019412517548,0.11123007535934448,0.07767981290817261,0.06999240070581436,0.08821357041597366,2160.0,8712.0,1368.0,-6.746841219612137
FedAvg,node_tou_3,ToU,20,44960,0.08357691019773483,0.07362949848175049,0.07944190502166748,0.06318841129541397,0.055495262145996094,0.06154562160372734,2160.0,8712.0,1368.0,-11.902105129813648
FedAvg,node_tou_4,ToU,20,44960,0.06874984502792358,0.06665073335170746,0.07710627466440201,0.05189109593629837,0.050419289618730545,0.06069865822792053,2160.0,8712.0,1368.0,-3.0532602296973117
FedAvg,node_tou_5,ToU,20,44960,0.07424238324165344,0.0704663023352623,0.07481449842453003,0.059129565954208374,0.05518544837832451,0.059312060475349426,2160.0,8712.0,1368.0,-5.086152601136579
FedAvg,node_tou_6,ToU,20,44960,0.10371774435043335,0.10168729722499847,0.10674121975898743,0.07937333732843399,0.07440005987882614,0.08203303813934326,2160.0,8712.0,1368.0,-1.9576661044368269
FLAST,node_std_0,Std,20,44960,0.10045851767063141,0.09354101866483688,0.09745761007070541,0.07904107868671417,0.07302350550889969,0.07659874111413956,2160.0,8712.0,1368.0,-6.885925819127256
FLAST,node_std_1,Std,20,44960,0.08439267426729202,0.07601194083690643,0.08399377763271332,0.06633914262056351,0.06034111976623535,0.06573109328746796,2160.0,8712.0,1368.0,-9.930640903547836
FLAST,node_std_2,Std,20,44960,0.08662907034158707,0.08307861536741257,0.09344203025102615,0.06805703788995743,0.06567947566509247,0.07419469952583313,2160.0,8712.0,1368.0,-4.098456742262963
FLAST,node_tou_0,ToU,20,44960,0.10172738134860992,0.0884658545255661,0.09930697828531265,0.07899216562509537,0.06784284859895706,0.07811671495437622,2160.0,8712.0,1368.0,-13.036339525538212
FLAST,node_tou_1,ToU,20,44960,0.11519798636436462,0.0991993173956871,0.12101439386606216,0.0897541344165802,0.07669832557439804,0.09605996310710907,2160.0,8712.0,1368.0,-13.88797623430209
FLAST,node_tou_2,ToU,20,44960,0.10007123649120331,0.09331172704696655,0.11171945929527283,0.07784701883792877,0.07005919516086578,0.08877325057983398,2160.0,8712.0,1368.0,-6.754697634650437
FLAST,node_tou_3,ToU,20,44960,0.08348120748996735,0.07351209968328476,0.0791608989238739,0.0630815327167511,0.05548754706978798,0.06119982898235321,2160.0,8712.0,1368.0,-11.94173887324361
FLAST,node_tou_4,ToU,20,44960,0.0662466436624527,0.06495395302772522,0.07452242821455002,0.04920458048582077,0.04848078638315201,0.05781508982181549,2160.0,8712.0,1368.0,-1.9513300044514552
FLAST,node_tou_5,ToU,20,44960,0.07288729399442673,0.06917154788970947,0.07331056147813797,0.056889019906520844,0.05309765785932541,0.0572308786213398,2160.0,8712.0,1368.0,-5.097933948544415
FLAST,node_tou_6,ToU,20,44960,0.10032641887664795,0.1010846495628357,0.1016717404127121,0.07382827997207642,0.07031577825546265,0.07605830579996109,2160.0,8712.0,1368.0,0.7557637307078549
