method,round,mean_client_train_loss,mean_global_val_loss,mean_personalized_val_loss,triggered_node_count
FedAvg,1,0.5142352412731197,0.11376343844901948,0.11376343844901948,0
FedAvg,2,0.3286969926539689,0.07639503528674443,0.07639503528674443,0
FedAvg,3,0.3123237885799909,0.07209181657859257,0.07209181657859257,0
FedAvg,4,0.30575346153030614,0.06915963114727111,0.06915963114727111,0
FedAvg,5,0.3018922384640076,0.06525371103059677,0.06525371103059677,0
FedAvg,6,0.29804590333823205,0.06222115322237922,0.06222115322237922,0
FedAvg,7,0.29563277335353594,0.06065896870124908,0.06065896870124908,0
FedAvg,8,0.2942378564173641,0.05876578745387849,0.05876578745387849,0
FedAvg,9,0.29297775373552193,0.05910944952851249,0.05910944952851249,0
FedAvg,10,0.2923105658500644,0.057750625127837775,0.057750625127837775,0
FLAST,1,0.5142352412731197,0.11143824472313837,0.09902798746313368,3
FLAST,2,0.32792864636806407,0.07536780401354745,0.07271581554696674,4
FLAST,3,0.31207048468848564,0.07145751835334868,0.0684256368449756,3
FLAST,4,0.3055236203692774,0.06868238484575635,0.06532600883926663,3
FLAST,5,0.3016357381652471,0.06492516213939303,0.060664575227669305,6
FLAST,6,0.2977224553787411,0.06186051489341826,0.058946131098838075,5
FLAST,7,0.29530088425849255,0.06064805140097936,0.05991282711426417,3
FLAST,8,0.2939905402737792,0.058181014763457425,0.05647264985101563,5
FLAST,9,0.2927411374826236,0.0586768891839754,0.05679876811447597,4
FLAST,10,0.29212161837682604,0.058077957729498544,0.057155969313212804,3
